net,length_um
net4,223.2
net3,198.42
net16,193.62
net20,186.81
net29,179.4
net10,174.075
net23,170.87
net1,169.28
net6,163.48
net12,159.05
net24,151.36
net28,151.16
net26,150.21
net7,149.62
_135_,147.67
net8,132.18
net11,132.01
net25,131.88
net14,126.4
_124_,118.13
net22,115.24
net19,113.985
_126_,111.07
_131_,110.42
net18,109.1
net2,109.02
net27,105.195
_130_,101.19
_158_,97.67
net9,97.58
net5,95.68
net13,94.58
_127_,87.64
_145_,84.42
net17,81.88
_173_,80.16
_121_,74.23
net15,74.13
_098_,68.86
_011_,66.35
net21,66.02
_109_,60.58
_114_,54.405
net30,47.02
_111_,46.96
_106_,44.34
_104_,44.26
_056_,42.64
_143_,42.02
_054_,40.32
_113_,39.48
_029_,33.44
_110_,32.16
_120_,31.74
_170_,31.72
_090_,31.66
_053_,28.6
_035_,28.32
_099_,27.68
_107_,26.98
_141_,26.42
_037_,25.62
_048_,25.52
_139_,25.47
_123_,25.02
_059_,24.1
_026_,24.06
net31,23.8
_165_,23.23
_075_,22.34
_020_,21.98
_148_,21.34
_047_,20.62
_034_,19.9
_068_,19.88
_160_,19.445
_004_,19.22
_115_,18.98
_153_,18.62
_003_,18.5
_040_,18.48
_012_,17.99
_149_,17.88
_031_,17.5
_140_,17.4
_074_,16.56
_052_,16.23
_159_,15.66
B[1],15.28
_175_,15.15
_087_,15.02
_091_,14.88
_103_,14.78
B[3],14.56
_043_,14.42
_010_,14.18
_019_,13.72
_018_,13.68
_050_,13.68
_167_,13.2
net33,13.16
_088_,13.04
_162_,12.96
_096_,12.94
net32,12.84
_125_,12.635
Result[0],12.62
B[0],12.38
_100_,12.38
Result[2],12.16
_080_,11.88
_072_,11.68
_076_,11.58
B[2],11.34
B[4],11.34
_002_,11.34
B[6],11.02
_064_,10.95
B[7],10.88
Sel[0],10.42
_073_,10.42
_033_,10.4
_028_,10.36
_095_,9.9
A[4],9.64
_070_,9.52
_142_,9.32
_013_,9.26
_119_,9.06
_055_,8.98
CarryOut,8.96
Sel[1],8.84
A[1],8.72
B[5],8.69
Result[1],8.5
Sel[3],8.35
_117_,8.32
_025_,7.84
Result[4],7.58
_137_,7.56
_151_,7.48
_146_,7.28
_092_,7.22
Zero,6.89
A[0],6.77
A[7],6.77
_039_,6.62
Result[6],6.43
_078_,6.4
_129_,6.4
_024_,6.32
_045_,6.32
_001_,6.26
_134_,6.16
Result[5],6.09
_086_,5.98
_094_,5.84
_108_,5.8
Result[3],5.75
_132_,5.74
_065_,5.68
_136_,5.68
_168_,5.58
_016_,5.4
_051_,5.38
_069_,5.38
_014_,5.28
_157_,5.28
_071_,5.22
_083_,5.14
_062_,5.12
_156_,5.12
_017_,5.02
_112_,5.02
_063_,4.94
_079_,4.88
_032_,4.8
A[2],4.73
Sel[2],4.73
_122_,4.7
A[3],4.61
A[5],4.61
A[6],4.61
_164_,4.56
_066_,4.42
_097_,4.36
_009_,4.34
Result[7],4.27
_008_,4
_105_,4
_061_,3.98
_084_,3.98
_155_,3.88
_102_,3.76
_038_,3.68
_174_,3.68
_081_,3.56
_089_,3.56
_007_,3.54
_042_,3.52
_027_,3.49
_000_,3.42
_172_,3.32
_077_,3.1
_147_,3.1
_154_,3.08
_133_,2.96
_152_,2.84
_093_,2.76
_057_,2.64
_067_,2.64
_005_,2.62
_021_,2.62
_022_,2.62
_101_,2.62
_128_,2.52
_006_,2.5
_036_,2.5
_046_,2.5
_060_,2.3
_023_,2.18
_144_,2.16
_030_,2.06
_082_,1.94
_163_,1.71
_044_,1.38
_058_,1.38
_116_,1.38
_169_,1.38
_085_,1.26
_118_,1.26
_166_,1.26
_041_,0.92
_161_,0.92
_171_,0.92
_049_,0.8
_150_,0.8
_015_,0.46
_138_,0.46
